CountyName,American Indian,Asian,Black,Hispanic,Multi-Race,Pacific Islander,White
Alameda,0.0028127592900340326,0.2609140200799398,0.12270956100987945,0.2250526266392227,0.037646869313147126,0.008209883109461797,0.34265428055831504
Alpine,0.1786549195772806,0.005957458432394145,0.0,0.0714892238904919,0.017858157762849027,0.0,0.7260402403369843
Amador,0.014440819986493705,0.010528030151650375,0.025133081267249387,0.1248660467412064,0.023706016279261673,0.0016804800793656528,0.7996455254947729
Butte,0.015517830376725904,0.04092638467650698,0.014331598639346002,0.14143629477629055,0.03205119018110428,0.0019137654477454197,0.7538229359022809
Calaveras,0.011716174305977003,0.011848525855497139,0.007899140129780224,0.10317831404237056,0.026572795219678452,0.0015794437729285988,0.8372056066737681
California,0.004413859872569869,0.12929711482158734,0.05870730213546537,0.37616822802615657,0.024441957178394827,0.003561633851396956,0.403409904114429
Colusa,0.013871125225640872,0.0128799396263666,0.00784166830884662,0.5511177416443588,0.011816754279335154,0.0027988093211626917,0.3996739615942892
ContraCosta,0.002902678250060174,0.1434375713381391,0.09008041452525799,0.24361778032184167,0.035609657743708244,0.004342408949439342,0.48000948887155337
DelNorte,0.06805642240424065,0.032990505735048234,0.03682277818689988,0.17801901857564414,0.032649619589691765,0.0009442810008737314,0.6505173745076015
ElDorado,0.008638131115569289,0.03429749497770265,0.007229753612248198,0.12081708957471742,0.026350443827750352,0.0014857318589609487,0.8011813550330512
Fresno,0.006542004819538404,0.09474651169045958,0.048786206091571596,0.5030581467213723,0.016624471170617456,0.0011779885045536203,0.329064671001887
Glenn,0.017067794710786323,0.02417920657775664,0.006862911598930663,0.3747528158888322,0.015829355585600023,0.0007822847748009171,0.5605256308632931
Humboldt,0.0519052760180307,0.021436512021948826,0.010473828701417612,0.098136512973962,0.040252105224487654,0.002495891490284702,0.7752998735698685
Imperial,0.009430971240308355,0.012874688019124498,0.029575728515268216,0.8037187205447611,0.005735879740222902,0.0005214180034741586,0.13814259393684084
Inyo,0.10222673598235828,0.012347968939058004,0.005499635595586552,0.19393723560166617,0.020396004271770733,0.0008098352040926323,0.6647825844054677
Kern,0.007095953997102878,0.04012973652708951,0.0545206587252969,0.4919225238915308,0.017848446808594143,0.0012124967001061785,0.38727018335027963
Kings,0.008609516429696377,0.035669839475451014,0.06842731366964191,0.5089921006309723,0.020558132682982712,0.0015295557589512703,0.35621354135230443
Lake,0.02376900367137041,0.01091708835441685,0.01840223017497678,0.17146645612413977,0.030711861799086665,0.0015455936623363334,0.7431877662136732
Lassen,0.02879557198029455,0.009799231396853299,0.08445901173771724,0.1752989309380419,0.02430795312016695,0.004669391617584631,0.6726699092093414
LosAngeles,0.001980022593337128,0.13611000467033352,0.08406020201639292,0.4774499412339452,0.018365517867478306,0.002351969068746999,0.27968234254976587
Madera,0.012109886021562601,0.017201986610615262,0.03468650416543984,0.5368608515123664,0.01481617674360186,0.0007293363106031313,0.38359525863581095
Marin,0.002151267537427658,0.05483059366733015,0.026869171008534115,0.15478661264835955,0.02735701072063945,0.0017630936566769015,0.7322422507610322
Mariposa,0.02581417282151042,0.01106931762209687,0.007065547965305354,0.09183515466068978,0.02900710088100543,0.001425189880514372,0.8337835161688778
Mendocino,0.039959219333729354,0.01623365194647596,0.006250030752048128,0.22205277073090843,0.026754591183353958,0.0010474493825628204,0.6877022866709213
Merced,0.004460688019293961,0.07261858842531833,0.03459838700874367,0.5492174481874468,0.016494255327604783,0.001911743492967723,0.3206988895386248
Modoc,0.030250413511036488,0.007419174409249482,0.007947048968661163,0.13855429810028294,0.022399843530566982,0.0021717213626032744,0.7912575001175997
Mono,0.01682877443289074,0.013443665762459176,0.002960862164135743,0.2648979052426415,0.016560754708092797,0.0007744473661966837,0.6845335903235833
Monterey,0.0033198799484235168,0.05791468078026996,0.027525734829981524,0.5541499238259666,0.02202383798415252,0.004602240558604727,0.330463702072601
Napa,0.004014940719426569,0.06651132893347014,0.018089827882657453,0.32245851142679954,0.02075849469038952,0.0023738748941973973,0.5657930214530593
Nevada,0.008090217414149078,0.011472268620538519,0.0034828435474163416,0.08544737930529106,0.02331809912499354,0.0009721526893200564,0.8672170392982914
Orange,0.0020932132159198497,0.17802552876893613,0.014805105185586857,0.3365102456267817,0.02261809419342542,0.0028302568568168204,0.4431175561525332
Placer,0.00604106715956011,0.05803408524194027,0.012897710470033515,0.12831784739642985,0.029382790119726783,0.0020523325521868896,0.7632741670601225
Plumas,0.022992534960858305,0.006348085658568882,0.009147625205771046,0.08022594530989247,0.028599198138163313,0.0009005243244705438,0.8517860864022755
Riverside,0.005051970464377464,0.05811228621759297,0.060314854076876645,0.45453076171932055,0.020725734502499038,0.0027353723150469423,0.39852902070428636
Sacramento,0.005618180255484632,0.14164782460561784,0.09935396878361218,0.21581524383773046,0.04131120426236984,0.009848700115037605,0.4864048781401475
SanBenito,0.004360854597979921,0.024097658713409374,0.006478034122455778,0.5642842438423917,0.015472004476572564,0.0012299750865103138,0.38407722916068027
SanBernardino,0.00425409702717403,0.061583402465308586,0.08469152061287175,0.4919129493590029,0.019988176708644157,0.0029384952287009095,0.3346313585982976
SanDiego,0.004600196775741576,0.10682071989652825,0.047803623704528175,0.3202754759536079,0.029357568953392865,0.004412568118004123,0.486729846598197
SanFrancisco,0.0023110772093598085,0.33178377646597706,0.05851831141038373,0.15122752961186461,0.030607007527590664,0.003946967224566257,0.4216053305502579
SanJoaquin,0.004716120785548497,0.13967446319610058,0.07136943180541487,0.38864678601173297,0.03007588802061896,0.00492965684971012,0.360587653330874
SanLuisObispo,0.005140253245787206,0.030394555407166082,0.020049064725169385,0.20759287457435577,0.02219311992009168,0.001309197243053846,0.713320934884376
SanMateo,0.0015936351207372808,0.2468772096709043,0.02645817068515984,0.25402278096861725,0.03128029048519577,0.014240108071069391,0.4255278049983162
SantaBarbara,0.004401999876288929,0.046720174684995584,0.017265593099395418,0.4286192076301457,0.02005698618378398,0.0016349642483510505,0.48130107427703933
SantaClara,0.0022973079368476495,0.3197208510383624,0.023993146646916375,0.2689715117751876,0.027794542261375826,0.003601522782563186,0.353621117558747
SantaCruz,0.0038072231343616284,0.04109368615928984,0.008883841477629146,0.3205015219849792,0.025722119076380653,0.0011548521766114397,0.598836755990748
Shasta,0.02352404201681227,0.024574074155999947,0.008171006180765853,0.08395096927148019,0.03293025635124107,0.0013149821959070592,0.8255346698277937
Sierra,0.01296052513295913,0.003703713758541968,0.0015445938441353323,0.0830262328085921,0.016377969561703756,0.0006173385199830767,0.8817696263740846
Siskiyou,0.03476477603779206,0.012068912884665316,0.012295417328824105,0.10278475637529014,0.03999945368030661,0.0016032166161354061,0.7964834670769863
Solano,0.004599006971590097,0.14411204297963223,0.14380264529992046,0.2403732162859299,0.04901539171104556,0.00803538186817969,0.4100623148837021
Sonoma,0.007489525685411809,0.03718708745625196,0.014106929531834976,0.24888630377336468,0.025729742689485195,0.0030298804589311483,0.6635705304047204
Stanislaus,0.005664266796354549,0.04894529548352854,0.02563319964161152,0.4191991920471932,0.02499968751103478,0.006278786399108416,0.46927957212116905
Sutter,0.009838193038235122,0.14591389506425953,0.018344973155282933,0.28764928171779575,0.029391642862142704,0.0028920761501751895,0.5059699380121089
Tehama,0.019161746596660707,0.009958157894343454,0.005640246541912448,0.2191148612799706,0.02498003437188275,0.001024406637142652,0.7201205466780873
Trinity,0.04055070011668767,0.0070370463481413984,0.0034088973292911036,0.06954747467617446,0.040916636023637785,0.0011600178760433155,0.8373792276300243
Tulare,0.007576244585207112,0.032568211134360495,0.012578444773346796,0.6062370833191729,0.012873060088081737,0.00087755108120199,0.32728940501862896
Tuolumne,0.015082083935378974,0.009900694314236791,0.02124194414027938,0.10689835910390778,0.02352009524269732,0.0011202173424450109,0.8222366059210547
Ventura,0.002936933642187218,0.06649545324856132,0.01610658074641787,0.4027222105855258,0.02145109601040043,0.0016702074192013372,0.488617518347706
Yolo,0.0055313696981154955,0.12892893390882512,0.023973764388838192,0.30348069677150735,0.03226387766852143,0.004356371427711474,0.501464986136481
Yuba,0.017601938051404052,0.0657038319401471,0.029645924480960054,0.250172818941368,0.043326312819585995,0.0037417872522378004,0.589807386514297
